timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694210791549,432,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,432,0,350
1694210791982,88,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,88,0,0
1694210792077,83,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,83,0,0
1694210792161,86,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,86,0,0
1694210792249,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694210792332,86,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,86,0,0
1694210792422,83,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,83,0,0
1694210792506,88,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,88,0,0
1694210792599,86,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,86,0,0
1694210792685,86,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,86,0,0
1694210792774,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694210792856,86,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,86,0,0
1694210792946,83,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,83,0,0
1694210793029,88,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,88,0,0
1694210793123,84,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,84,0,0
1694210793207,86,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,86,0,0
1694210793297,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694210793380,86,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,86,0,0
1694210793473,83,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,83,0,0
1694210793557,87,setup_create new user,201,Created,setUp Thread Group 1-1,text,true,,461,770,1,1,https://testslotegrator.com/api/automationTask/create,87,0,0
1694210793721,431,login,201,Created,Open Model Thread Group 1-2,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,431,0,344
1694210793721,432,login,201,Created,Open Model Thread Group 1-8,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,432,0,344
1694210793722,432,login,201,Created,Open Model Thread Group 1-1,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,432,0,342
1694210793721,433,login,201,Created,Open Model Thread Group 1-9,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,433,0,344
1694210793722,444,login,201,Created,Open Model Thread Group 1-6,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,444,0,358
1694210793722,444,login,201,Created,Open Model Thread Group 1-4,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,444,0,359
1694210793721,445,login,201,Created,Open Model Thread Group 1-10,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,445,0,358
1694210793722,444,login,201,Created,Open Model Thread Group 1-3,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,444,0,357
1694210793723,444,login,201,Created,Open Model Thread Group 1-11,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,444,0,357
1694210793723,445,login,201,Created,Open Model Thread Group 1-12,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,445,0,357
1694210793722,447,login,201,Created,Open Model Thread Group 1-5,text,true,,1086,285,13,13,https://testslotegrator.com/api/tester/login,447,0,358
1694210794154,81,getOne,201,Created,Open Model Thread Group 1-8,text,true,,398,608,13,13,https://testslotegrator.com/api/automationTask/getOne,81,0,0
1694210794154,82,getOne,201,Created,Open Model Thread Group 1-2,text,true,,398,608,13,13,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694210794154,83,getOne,201,Created,Open Model Thread Group 1-1,text,true,,398,608,11,11,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694210794154,83,getOne,201,Created,Open Model Thread Group 1-9,text,true,,398,608,11,11,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694210794166,82,getOne,201,Created,Open Model Thread Group 1-6,text,true,,398,608,9,9,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694210794166,84,getOne,201,Created,Open Model Thread Group 1-4,text,true,,398,608,8,8,https://testslotegrator.com/api/automationTask/getOne,84,0,0
1694210794169,82,getOne,201,Created,Open Model Thread Group 1-12,text,true,,398,608,8,8,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694210794169,82,getOne,201,Created,Open Model Thread Group 1-5,text,true,,398,608,6,6,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694210794251,236,login,201,Created,Open Model Thread Group 1-5,text,true,,1086,285,6,6,https://testslotegrator.com/api/tester/login,236,0,0
1694210793974,514,login,201,Created,Open Model Thread Group 1-13,text,true,,1086,285,6,6,https://testslotegrator.com/api/tester/login,514,0,341
1694210794077,429,login,201,Created,Open Model Thread Group 1-15,text,true,,1086,285,6,6,https://testslotegrator.com/api/tester/login,429,0,348
1694210794489,82,getOne,201,Created,Open Model Thread Group 1-13,text,true,,398,608,7,7,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694210794506,83,getOne,201,Created,Open Model Thread Group 1-15,text,true,,398,608,7,7,https://testslotegrator.com/api/automationTask/getOne,83,0,0
1694210794166,500,getAll,200,OK,Open Model Thread Group 1-3,text,true,,252467,556,6,6,https://testslotegrator.com/api/automationTask/getAll,281,0,0
1694210794166,552,getAll,200,OK,Open Model Thread Group 1-10,text,true,,252467,556,5,5,https://testslotegrator.com/api/automationTask/getAll,332,0,0
1694210794540,231,login,201,Created,Open Model Thread Group 1-17,text,true,,1086,285,4,4,https://testslotegrator.com/api/tester/login,231,0,150
1694210794167,601,getAll,200,OK,Open Model Thread Group 1-11,text,true,,252467,556,4,4,https://testslotegrator.com/api/automationTask/getAll,382,0,0
1694210794575,230,login,201,Created,Open Model Thread Group 1-18,text,true,,1086,285,3,3,https://testslotegrator.com/api/tester/login,230,0,148
1694210794771,82,getOne,201,Created,Open Model Thread Group 1-17,text,true,,398,608,3,3,https://testslotegrator.com/api/automationTask/getOne,82,0,0
1694210794488,472,getAll,200,OK,Open Model Thread Group 1-5,text,true,,252467,556,2,2,https://testslotegrator.com/api/automationTask/getAll,252,0,0
1694210794972,82,login,201,Created,Open Model Thread Group 1-5,text,true,,1086,285,2,2,https://testslotegrator.com/api/tester/login,82,0,0
1694210795054,87,create new user,201,Created,Open Model Thread Group 1-5,text,true,,462,771,4,4,https://testslotegrator.com/api/automationTask/create,87,0,0
1694210795056,229,login,201,Created,Open Model Thread Group 1-20,text,true,,1086,285,5,5,https://testslotegrator.com/api/tester/login,229,0,148
1694210794805,477,getAll,200,OK,Open Model Thread Group 1-18,text,true,,252467,556,5,5,https://testslotegrator.com/api/automationTask/getAll,258,0,0
1694210795088,232,login,201,Created,Open Model Thread Group 1-21,text,true,,1086,285,4,4,https://testslotegrator.com/api/tester/login,232,0,150
1694210795286,83,getOne,201,Created,Open Model Thread Group 1-20,text,true,,398,608,4,4,https://testslotegrator.com/api/automationTask/getOne,83,0,0
