timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694211804417,455,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,455,0,366
1694211804873,83,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,83,0,0
1694211804957,84,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,84,0,0
1694211805041,85,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,85,0,0
1694211805127,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694211805210,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694211805293,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694211805387,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694211805470,83,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,83,0,0
1694211805554,82,setup_login,201,Created,setUp Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,82,0,0
1694211805724,434,TD_login,201,Created,tearDown Thread Group 1-1,text,true,,1086,285,1,1,https://testslotegrator.com/api/tester/login,434,0,345
1694211806158,537,TD_getAll,200,OK,tearDown Thread Group 1-1,text,true,,233989,556,1,1,https://testslotegrator.com/api/automationTask/getAll,318,0,0
1694211806806,87,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec97,87,0,0
1694211806894,290,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233989,556,1,1,https://testslotegrator.com/api/automationTask/getAll,213,0,0
1694211807184,82,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec98,82,0,0
1694211807266,276,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233989,556,1,1,https://testslotegrator.com/api/automationTask/getAll,201,0,0
1694211807543,92,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec99,92,0,0
1694211807635,278,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233989,556,1,1,https://testslotegrator.com/api/automationTask/getAll,203,0,0
1694211807913,82,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec9a,82,0,0
1694211807995,267,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233989,556,1,1,https://testslotegrator.com/api/automationTask/getAll,191,0,0
1694211808262,81,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec9b,81,0,0
1694211808343,271,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233989,556,1,1,https://testslotegrator.com/api/automationTask/getAll,197,0,0
1694211808614,89,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644b15ea3d2a62aaec9c,89,0,0
1694211808703,263,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233848,556,1,1,https://testslotegrator.com/api/automationTask/getAll,189,0,0
1694211808967,85,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644b15ea3d2a62aaec9d,85,0,0
1694211809053,262,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,188,0,0
1694211809316,86,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec97,86,0,0
1694211809403,262,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,189,0,0
1694211809665,81,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec98,81,0,0
1694211809746,274,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,200,0,0
1694211810021,82,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec99,82,0,0
1694211810103,271,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,192,0,0
1694211810377,83,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec9a,83,0,0
1694211810460,267,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,192,0,0
1694211810727,81,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644a15ea3d2a62aaec9b,81,0,0
1694211810808,262,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,188,0,0
1694211811070,81,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644b15ea3d2a62aaec9c,81,0,0
1694211811151,263,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,186,0,0
1694211811414,84,TD_deleteOne,200,OK,tearDown Thread Group 1-1,,true,,183,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644b15ea3d2a62aaec9d,84,0,0
1694211811498,263,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233707,556,1,1,https://testslotegrator.com/api/automationTask/getAll,189,0,0
1694211811762,86,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644c15ea3d2a62aaec9e,86,0,0
1694211811848,263,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233566,556,1,1,https://testslotegrator.com/api/automationTask/getAll,189,0,0
1694211812111,86,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644e15ea3d2a62aaec9f,86,0,0
1694211812197,268,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233425,556,1,1,https://testslotegrator.com/api/automationTask/getAll,194,0,0
1694211812465,86,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644e15ea3d2a62aaeca0,86,0,0
1694211812551,264,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233284,556,1,1,https://testslotegrator.com/api/automationTask/getAll,188,0,0
1694211812815,87,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8644f15ea3d2a62aaeca1,87,0,0
1694211812902,264,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233143,556,1,1,https://testslotegrator.com/api/automationTask/getAll,190,0,0
1694211813166,85,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8645015ea3d2a62aaeca2,85,0,0
1694211813252,265,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,233002,556,1,1,https://testslotegrator.com/api/automationTask/getAll,191,0,0
1694211813518,87,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8645115ea3d2a62aaeca3,87,0,0
1694211813606,266,TD_getAll_check,200,OK,tearDown Thread Group 1-1,text,true,,232861,556,1,1,https://testslotegrator.com/api/automationTask/getAll,192,0,0
1694211813873,86,TD_deleteOne,200,OK,tearDown Thread Group 1-1,text,true,,457,606,1,1,https://testslotegrator.com/api/automationTask/deleteOne/64f8645115ea3d2a62aaeca4,86,0,0
